And this?	و هذه؟
I've got someone to cover for me.	هناك من يحل مكاني يمكنهم أستبدال أيا كان
That initiative, as I mentioned earlier, requires international support, which the Security Council expressed in the Presidential Statement dated 12 December 2003 (S/PRST/2003/26).	وهذا ما عبر عنه المجلس في بيانه الرئاسي الذي اعتمده بهذا الخصوص بتاريخ 12 كانون الأول/ديسمبر الحالي (S/PRST/2003/26).
"Morgan said the work will is full time?	(مورغان) طلبت منك أن تأتي
It is extremely dangerous and fatal.	وهو خطر وقاتل جدا.
I am begging you.	أنا أستجديك..
Income from private sector fund-raising activities and related expenses are recorded separately in the PSD accounts.	29 - وتقيد الإيرادات من أنشطة جمع الأموال من القطاع الخاص والنفقات ذات الصلة بشكل مستقل في حسابات الشعبة.
You're so beautiful.	أنتِ جميلة للغاية.
Why, because I'm too busy now to always dote on her?	لماذا ؟ لاننى مشغول جدا الآن لكى اشغف بحبى لها
- Game, baby! - Whatever, You charged,	اللعبة,عزيزي مهما يكن انت مسؤول
Your baby needs you, Stu.	طفلك بحاجة إليك يا ـ(ستو)ـ
You're gonna drown your sorrows 'cause of a little setback?	أنتِ غارقة في أحزانك بسبب نكسة ما صغيرة؟
A concerned father.	اب قلق
Just cos you're a man doesn't mean I've retired.	كوس مجرد أنك رجل لا يعني أنا متقاعد.
I assure you.	أأكد لك
Thanks, Michael. Oh.	شكراً يا (مايكل)
-Nice.	رائع
This is a first date.	هذا موعدنا الأول
But the truly tragic thing would be to let his sacrifice go to waste.	"ولكن الأمر المؤسف حقّاً سيكون ترك تضحيته تضيع هباءً"
I can do whatever I want.	أنا أعمل اللى أنا عايزه
She doesn't consider it stealing.	إنها لا تعتبرها سرقة
You're God?	معذرة , انت اله
- Right? The way you look at him. No?	الطريقة التي تنظرين إلية , لا ؟
Pharaoh said , “ Did you believe in Him before I have given you permission ? This is surely a conspiracy you schemed in the city , in order to expel its people from it .	قال فرعون للسحرة : آمنتم بالله قبل أن آذن لكم بالإيمان به ؟ إن إيمانكم بالله وتصديقكم لموسى وإقراركم بنبوته لحيلة احتلتموها أنتم وموسى ؛ لتخرجوا أهل مدينتكم منها ، وتكونوا المستأثرين بخيراتها ، فسوف تعلمون -أيها السحرة- ما يحلُّ بكم من العذاب والنكال .
The conduct took place in the context of and was associated with an international armed conflict.	5 - أن يصدر التصرف في سياق نزاع دولي مسلح، ويكون مرتبطا به.
Up!	سارفعه!
Your speech was very good.	لقد كان خطاباً جيداً
As the evidence, and my clients' testimony will show,	حيث الأدلة وشاهدة موكليّ ستبين
Projects for a bamboo technology development centre and a renewable energies observatory represented specific opportunities for development, training and job creation, with a very attractive potential impact at regional level.	فالمشاريع الخاصة بإقامة مركز لتطوير تكنولوجيا الخيزران ومرصد للطاقات المتجددة تمثل فرصا محددة لتحقيق التنمية وتوفير التدريب وإيجاد فرص العمل مع ما يمكن أن يخلفه ذلك من وقع مغر للغاية على المستوى الإقليمي.
I hit him!	ضربته
So much suspense. I feel like I should be peeing on a stick.	الكــثــير من التّــشويق، أشعر أنّ يجــب عــليّ البــول على عصًــا.
It explains a lot, like why she thinks I'm bad in bed.	هناك العديد من المجانين بالخارج نعم، كنت أفكر بنفس الموضوع
The celeb thinks it's a trick and Starts ranting at the guy, who doesn't know what's up, so he gets mad.	ظن النجم أن هذه هي الخدعة... فبدأ بالصراخ على الرجل... الذي لم يكن يعرف بالبرنامج لذا غضب بشدة...
- OVERLOOKING A GASWORKS.	- تطل على Gasworks.
You're the last person I want to be with now!	اننى لا اريد ان اشاهد هذا معك
It's not what you think.	هو ليس الذي تعتقد.
Anne, right now!	-آن)، في الحال)
The counsellors are appointed by Congress, by a two-thirds vote of the members present.	ويرأس المجلس رئيس محكمة العدل العليا.
Oh, you made the world!	تتكلم وكأنك خالق هذا الكون!
Um, so what do you want to talk about?	أمم , إذا ما الذي تريدني أن أتحدث عنه ؟
We found a whole box of them down in Little Cuba.	ـ لقد وجدنا صندوق كامل بهذه الأشياء في (كوبا) الصغيرة
PWU is your stomping grounds, ring any bells?	تعد الجامعة موطنكم الأم، فهل تذكركم بشيء؟
But tonight, you lucky boy, I'm all nerd hag.	لكن الليلة, أيها الفتى المحظوظ، أنا عجوز شمطاء مجدّة.
Plans of action	خطط العمل
What's the name of this shop?	ما اسم هذا المحل ؟
I knew I should've stayed with him last night.	اعلم انه كان يتوجب على البقاء معه امس
We're going to the fundraiser.	سنذهب لمأدُبة جمع الأموال
I'm ready to sail any ocean.	مستعد للإبحار فى أى محيط
Looks like we're not the first ones who decided to tie up here.	يبدو أننـا لسنـا أول من قرر القدوم إلى هنـا
What? So you can hump her?	كي تجامعها؟
Decent and honorable and well-meaning. So are all of you.	نزيه و شريف و يقصد الخير
Table A2	الجدول ألف - 2
Where are you going?	أين تذهبين؟
The same night, a police patrol car send me back to my grandmother house.	بنفس اليله قامت الشرطة ,بإرسالي في سيارة الشرطة إلى بيت جدتي
The raw footage from the Fatah interview.	اللقطات المقطوعة من مقابلة (فتاح)
Why was Krista of all people born on the same day I was?	لما (كريستا) من بين كل الناس ولدت في نفس اليوم الذي ولدت به ؟
I suggest you channel your anger toward the warlock you're meant to vanquish.	إنني أقترح بأن توجهوا غضبكم تجاه المشعوذ الذي أنتم بصدد قهره
These two are 5 and under.	هؤلاء الإثنان خمسة و أقل
A man can only take so much failure.	أي رجل يمكن ان يفشل كثيراً
Centimeter and a half deep. Help me turn him over. Mm-hmm.	بعمق 1.5 سنتمير ساعديني في قلبه لنرى
I'm starting to like our conversations.	محادثتنا بدأت تعجبني
please.	أرجوكِ.
If your reflection penetrates, your soul is lost.	إنعكاسه يخـترق و تفقد روحك
Loss and causation with respect to the Valuation Items	(ب) الخسارة والرابطة السببية فيما يتعلق ببنود التقييم
Don't wanna be a gangster no more, Miller.	لم اعد اريد ان اكون عضو عصابة، ميلر
God.	يا إلهي
The manager wants to go.	المدير يُريدُ الذِهاب.
would you excuse me. I... Just be one moment.	آسفة هلا عذرتني لدقيقة
